county,Kod,population,WOJ.x,Feminization_index,w.wieku.przedprodukcyjnym.2021....,Working_age_population_share,w.wieku.poprodukcyjnym.2021....,Doctors_and_staff_per_10_thousand_people_in_2020,Population_per_1_square_km_in_2021,zaszczepieni_pelna_dawka,liczba_ludnosci,Fully_vaccinated_population,ludność,WOJ.y,Frekwencja,X..głosów.nieważnych,W.tym.z.powodu.postawienia.znaku..X..obok.nazwiska.dwóch.lub.większej.liczby.kandydatów.z.różnych.list,W.tym.z.powodu.niepostawienia.znaku..X..obok.nazwiska.żadnego.kandydata,W.tym.z.powodu.postawienia.znaku..X..wyłącznie.obok.nazwiska.kandydata.na.liście.której.rejestracja.została.unieważniona,X..głosów.ważnych,KOALICYJNY.KOMITET.WYBORCZY.KOALICJA.OBYWATELSKA.PO..N.IPL.ZIELONI...ZPOW.601.6.19,KOMITET.WYBORCZY.AKCJA.ZAWIEDZIONYCH.EMERYTÓW.RENCISTÓW...ZPOW.601.21.19,KOMITET.WYBORCZY.KONFEDERACJA.WOLNOŚĆ.I.NIEPODLEGŁOŚĆ...ZPOW.601.5.19,KOMITET.WYBORCZY.POLSKIE.STRONNICTWO.LUDOWE...ZPOW.601.19.19,KOMITET.WYBORCZY.PRAWICA...ZPOW.601.20.19,Votes_on_PiS_commission,KOMITET.WYBORCZY.SKUTECZNI.PIOTRA.LIROYA.MARCA...ZPOW.601.17.19,KOMITET.WYBORCZY.SOJUSZ.LEWICY.DEMOKRATYCZNEJ...ZPOW.601.1.19,KOMITET.WYBORCZY.WYBORCÓW.KOALICJA.BEZPARTYJNI.I.SAMORZĄDOWCY...ZPOW.601.10.19,KOMITET.WYBORCZY.WYBORCÓW.MNIEJSZOŚĆ.NIEMIECKA...ZPOW.601.15.19,Higher_education_population_share_in_2011,średnie,zasadnicze_zawodowe,podstawowe,Health_exp,Health_expenditure_per_1_person
aleksandrowski,401000,54701,4,106,17.2,59.4,23.4,52.1,115,32893,54891,59.92,54701,4,56.96,1.44,62.8,37.2,0,98.56,20.9,0,6.22,10.23,0,45.41,0,15.33,1.91,0,0.10596751115225991,0.31823920545408635,0.27287265381701875,0.30292062957663496,6391637.8,116.84681815688927
augustowski,2001000,57316,20,104,16.9,61.2,22,23.1,34,26289,57651,45.6,57316,20,52.33,1.07,55.64,44.36,0,98.93,16.15,0.35,5.84,14.74,0,55.02,0.37,6.85,0.7,0,0.1330415003647912,0.3360585382601605,0.18930518003519162,0.34159478133985666,3269479.25,57.04304644427385
bartoszycki,2801000,56077,28,104,17,60.5,22.5,24.2,43,32864,56562,58.1,56077,28,48.68,2.1,78.39,21.61,0,97.9,32.16,0,4.94,7.84,0,41.54,0,11.26,2.27,0,0.12410412719334377,0.2945876925611665,0.247219705082791,0.33408847516269874,3375567.9,60.19522977334736
bełchatowski,1001000,112149,10,105,18.8,59.7,21.5,50.1,116,55689,112443,49.53,112149,10,63.88,1.13,62.44,37.56,0,98.87,11.67,0,10,7.03,0,59.73,0,11.58,0,0,0.16047488900171764,0.3325843424904666,0.23581328522507536,0.27112748328274044,2678162.17,23.880392781032377
będziński,2401000,146527,24,110,16.1,57.6,26.2,41,401,94132,147259,63.92,146527,24,63.17,0.96,65.22,34.78,0,99.04,32.1,0,6.79,4.75,0,34.01,0,22.34,0,0,0.18755696113789852,0.39154209866253303,0.2197044641952998,0.20119647600426868,3531074.08,24.098453390842643
bialski,601000,109502,6,101,18.8,60.6,20.6,28.6,40,52005,109958,47.3,109502,6,56.57,1.64,68.21,31.79,0,98.36,17.94,0,5.35,10.79,0,60.89,0,3.97,1.06,0,0.11522210184182015,0.3054929577464789,0.24617551462621884,0.33310942578548214,7455213.52,68.0828982119048
białobrzeski,1401000,33232,14,98,20.3,60,19.6,27.6,52,17887,33329,53.67,33232,14,60.22,1.58,59.45,40.55,0,98.42,12.91,0,4.37,12.01,0,65.41,0.46,4.3,0.54,0,0.10620689655172413,0.2592377495462795,0.2715426497277677,0.36301270417422865,1141049.27,34.33585911169957
białogardzki,3201000,47100,32,103,17.6,60.5,21.9,27.1,55,24391,47304,51.56,47100,32,50.72,2.25,69.71,30.29,0,97.75,33.53,0,5.05,9.45,0,37.11,0,14.86,0,0,0.10921913065777664,0.3033209385818695,0.2606744454417233,0.3267854853186306,8361290.7,177.52209554140128
białostocki,2002000,151479,20,103,18.7,61,20.3,23.5,51,72574,150845,48.11,151479,20,59.75,0.91,49.92,50.08,0,99.09,22.04,0.33,7.58,6.7,0,53.24,0.5,8.65,0.96,0,0.16097291120643528,0.33192160845946656,0.20342441528290423,0.3036810650511939,18297289.29,120.79093002990513
bielski,2003000,53299,20,102,16.4,57.9,25.7,39.1,38,24204,53695,45.08,53299,20,53.58,1,56.02,43.98,0,99,25.59,0.27,4.5,7.72,0,50.94,0.3,9.9,0.77,0,0.03865616210943071,0.08644010747964789,0.04728762215541192,0.10055964721117697,1182046.73,22.177653051652
bielski,2402000,166405,24,105,19.8,59.5,20.7,26.6,363,97787,166348,58.78,166405,24,66.81,0.94,57.09,42.91,0,99.06,26.44,0,7.96,8.68,0,45.69,0,11.23,0,0,0.1155178020297908,0.24405410493527832,0.22151418514567373,0.14597036893358967,1077933.46,6.477770860250593
bieruńsko-lędziński,2414000,59898,24,103,20,60.7,19.3,27.1,379,34645,59823,57.91,59898,24,64.5,1.09,60,40,0,98.91,23.19,0,7.36,4.83,0,56.9,0,7.72,0,0,0.14492690377481998,0.3370717870390574,0.31667030329478507,0.20133100589133754,24000,0.40068115796854653
bieszczadzki,1801000,21382,18,103,16.1,62.3,21.6,34.4,19,8878,21489,41.31,21382,18,52.05,1.41,65.93,34.07,0,98.59,21.81,0,7.7,11.57,0,49.86,0,9.06,0,0,0.13626373626373625,0.3301211608903917,0.23296703296703297,0.30064806987883913,4079814.19,190.8060139369563
biłgorajski,602000,99806,6,103,17.3,60.5,22.2,24.7,59,43163,100333,43.02,99806,6,56.77,1.1,66.99,33.01,0,98.9,7.81,0,6.8,14.2,0,65,0,5.49,0.7,0,0.13900864693703568,0.3,0.23347947874802094,0.3275118743149434,2498583.96,25.03440634831573
bocheński,1201000,106826,12,102,20.9,60,19,33.7,165,55667,106947,52.05,106826,12,63.83,1.16,64.75,35.25,0,98.84,11.86,0,6.62,11.41,0,65.08,0,5.03,0,0,0.14608455972830633,0.33713146625978246,0.2859551114829945,0.23082886252891668,6229183.14,58.311489150581316
bolesławiecki,201000,89574,2,106,17.6,59.8,22.6,30.7,69,47192,89762,52.57,89574,2,55.87,1.53,58.81,41.19,0,98.47,20.52,0,6.73,7.21,0,42.44,0,17.67,5.43,0,0.12175838963806106,0.32305363200538284,0.2909248927640248,0.2642630855925313,2660188.54,29.69822202871369
braniewski,2802000,40511,28,100,16.8,62.1,21,30.7,34,22796,40776,55.91,40511,28,48.73,1.91,78.43,21.57,0,98.09,27.72,0,5.49,12.27,0,38.03,0,10.56,5.92,0,0.12269364601304132,0.3187812509137694,0.22629316646685577,0.33223193660633354,4311356.02,106.42432968823282
brodnicki,402000,78915,4,102,20.5,60.3,19.2,26.1,76,45219,79023,57.22,78915,4,54.24,1.37,68.44,31.56,0,98.63,13.92,0,4.71,29.13,0,42.88,0,8.61,0.75,0,0.10663107614498454,0.2723299303799444,0.27743436046330117,0.34360463301176986,2217293.56,28.097238294367358
brzeski,1202000,92831,12,102,19.4,61.4,19.2,33.4,157,42880,93035,46.09,92831,12,59.29,1.29,64.16,35.84,0,98.71,10.14,0,8.44,13.49,0,63.62,0,4.31,0,0,0.057935929354479304,0.14735010522551273,0.15686166627694254,0.12618120796137605,4453285.44,47.97196453770831
brzeski,1601000,88942,16,106,17.2,59.7,23,26.1,101,46216,89282,51.76,88942,16,56.22,1.2,62.29,37.71,0,98.8,23.08,0,6.44,15.41,0,44.27,0,10.42,0,0.38,0.07572798173340119,0.19193683718243215,0.11769439209914581,0.12631188016671022,4051584.16,45.55310382046727
brzeziński,1021000,30589,10,107,18,59,23,113.9,85,16646,30648,54.31,30589,10,61.79,1.4,70.75,29.25,0,98.6,16.9,0,6.79,11.89,0,53.62,0,10.8,0,0,0.12450238076652877,0.3164468035282179,0.25017563031769574,0.3088751853875576,785087.95,25.665695184543463
brzozowski,1802000,65129,18,102,18.9,60.9,20.2,41.1,121,24255,65373,37.1,65129,18,55.97,1.17,62.76,37.24,0,98.83,8.2,0,6.58,5.32,0,75.77,0,4.13,0,0,0.11100828995565838,0.29535376903797955,0.26764989396568345,0.32598804704067863,4287223.38,65.82664220239832
buski,2601000,70687,26,105,16,58.9,25,47.7,73,39684,71125,55.79,70687,26,56.08,1.1,66.13,33.87,0,98.9,10.97,0,4.67,14.93,0,59.49,1.11,8,0.83,0,0.1366382344755325,0.3002406640362797,0.25233706062441674,0.31078404086377104,2706897.64,38.29413668708532
bydgoski,403000,121098,4,102,20.4,62,17.6,24,88,73958,120432,61.41,121098,4,61.97,1.33,72.85,27.15,0,98.67,33.34,0,8.22,8.6,0,32.87,0,15.71,1.26,0,0.1618068121950661,0.28026433332569806,0.2751906910690153,0.28273816341022057,29571.8,0.24419726172191117
bytowski,2201000,78939,22,101,20.7,60.4,18.9,22.5,36,41453,79114,52.4,78939,22,54.18,1.36,56.88,43.12,0,98.64,26.69,0,6.65,9.39,0,43.72,0,13.54,0,0,0.10862646993754362,0.2793859873045047,0.29848028454246867,0.31350725821548303,2860962.75,36.24270322654201
chełmiński,404000,51427,4,104,18.7,60.7,20.6,20.9,97,29928,51657,57.94,51427,4,52.54,1.73,65.73,34.27,0,98.27,28.92,0,6.7,11.28,0,39.86,0,12.03,1.21,0,0.09302272519850324,0.26480788537008304,0.29170849685132794,0.3504608925800858,2441214.45,47.46950920722578
chełmski,603000,77214,6,102,17.5,61.3,21.1,6.3,41,35138,77502,45.34,77214,6,48.53,1.96,68.17,31.83,0,98.04,15.8,0,6.03,11.02,0,61.19,0,5.07,0.89,0,0.09528855308823982,0.2715224669062318,0.2449092416843269,0.3882797383212015,6018886.67,77.95071709793561
chodzieski,3001000,46669,30,104,18.7,59.9,21.3,14.9,68,28942,46824,61.81,46669,30,60.62,1.6,66.95,33.05,0,98.4,30.34,0,6.98,16.69,0,31.2,0,14.78,0,0,0.12118763359574579,0.2982117720661071,0.32631249674156715,0.25428809759657994,1913686.49,41.00551736698879
